record_type,timestamp_local,outcome,tmdb_title_key,display_title,fetch_summary_head,app_streaming_context,raw_title_context,notes
tmdb_quality,2026-08-19 15:54:34,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+""","raw_title=""Minnie's Bow-Toons: Pet Hotel"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Pet Hotel""",
tmdb_quality,2026-08-19 15:57:23,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+""","raw_title=""Minnie's Bow-Toons: Pet Hotel"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Pet Hotel""",
tmdb_quality,2026-08-19 16:01:13,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+""","raw_title=""Minnie's Bow-Toons: Camp Minnie"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Camp Minnie""",
tmdb_quality,2026-08-19 16:04:43,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+""","raw_title=""Minnie's Bow-Toons: Camp Minnie"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Camp Minnie""",
tmdb_quality,2026-08-19 16:07:30,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+""","raw_title=""Minnie's Bow-Toons: Camp Minnie"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Camp Minnie""",
tmdb_quality,2026-08-19 16:39:14,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Minnie's Bow-Toons: Camp Minnie"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Camp Minnie""",
tmdb_quality,2026-08-19 16:42:34,SUCCESS,Bluey,Bluey,Bluey,"app_name=""YouTube"" app_id=""com.google.ios.youtube"" streaming_service_label=""YouTube"" streaming_service_badge=""App logos/AppLogo_YouTube.png""","raw_title=""Mower | BONUS BIT | Bluey"" raw_query=""Bluey - Official Channel"" layer_series_title=""Mower | BONUS BIT | Bluey""",
tmdb_quality,2026-08-19 16:45:45,SUCCESS,NPR Music Presents_ Tori Amos In Concert,NPR Music Presents: Tori Amos In Concert,NPR Music Presents_ Tori Amos In Concert,"app_name=""YouTube"" app_id=""com.google.ios.youtube"" streaming_service_label=""YouTube"" streaming_service_badge=""App logos/AppLogo_YouTube.png""","raw_title=""'Weird Al' Yankovic: NPR Music Tiny Desk Concert From The Archives"" raw_query=""NPR Music"" layer_series_title=""'Weird Al' Yankovic: NPR Music Tiny Desk Concert From The Archives""",
tmdb_quality,2026-08-19 17:02:56,SUCCESS,Prism,Prism,Prism,"app_name=""YouTube"" app_id=""com.google.ios.youtube"" streaming_service_label=""YouTube"" streaming_service_badge=""App logos/AppLogo_YouTube.png""","raw_title=""Greatest Minecraft Discoveries"" raw_query=""Prism"" layer_series_title=""Greatest Minecraft Discoveries""",
tmdb_quality,2026-08-20 11:50:49,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Minnie's Bow-Toons: Camp Minnie"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Camp Minnie""",
tmdb_quality,2026-08-20 11:51:36,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Minnie's Bow-Toons: Camp Minnie"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Camp Minnie""",
tmdb_quality,2026-08-20 11:54:43,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Minnie's Bow-Toons: Camp Minnie"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons: Camp Minnie""",
tmdb_quality,2026-08-20 11:59:01,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Minnie's Bow-Toons"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons""",
tmdb_quality,2026-08-20 12:02:36,SUCCESS,Minnie's Bow-Toons,Minnie's Bow-Toons,Minnie's Bow-Toons,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Minnie's Bow-Toons"" raw_query=""Minnie's Bow-Toons"" layer_series_title=""Minnie's Bow-Toons""",
tmdb_quality,2026-08-20 12:10:28,SUCCESS,Tangled Roots,Tangled: The Series - Short Cuts,Tangled Roots,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Tangled: The Series - Short Cuts"" raw_query=""Tangled: The Series"" layer_series_title=""Tangled: The Series - Short Cuts""",
tmdb_quality,2026-08-20 12:11:00,FAILURE,Tangled Roots,Tangled: The Series - Short Cuts,user_flagged,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Tangled: The Series - Short Cuts"" raw_query=""Tangled: The Series"" layer_series_title=""Tangled: The Series - Short Cuts""",
